company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added,ticker,price_before,price_day0,price_day30,return_immediate,return_30day,target
Meta,SF Bay Area,8000.0,2026-04-17,0.1,Consumer,https://www.reuters.com/world/meta-targets-may-20-first-wave-layoffs-additional-cuts-later-2026-2026-04-17/,Post-IPO,26000.0,United States,4/20/2026,META,676.8699951171875,688.5499877929688,669.1199951171875,1.7255887777621277,-1.1449761484342693,0
Snap,Los Angeles,1000.0,2026-04-15,0.16,Consumer,https://www.cnbc.com/2026/04/15/snap-stock-layoffs-16-percent-workforce.html,Post-IPO,4900.0,United States,4/15/2026,SNAP,5.599999904632568,6.039999961853027,5.980000019073486,7.857144012743132,6.785716444862169,1
Meta,SF Bay Area,200.0,2026-04-02,,Consumer,https://www.sfchronicle.com/tech/article/meta-layoffs-silicon-valley-22186184.php,Post-IPO,26000.0,United States,4/7/2026,META,579.22998046875,574.4600219726562,669.1199951171875,-0.8234999321398375,15.518881563363268,1
Oracle,SF Bay Area,30000.0,2026-03-31,,Other,https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,Post-IPO,,United States,3/31/2026,ORCL,138.31692504882812,146.59799194335938,163.8300018310547,5.987023563174136,18.44537591709766,1
Dell,Austin,11000.0,2026-03-16,0.1,Hardware,https://www.reuters.com/business/world-at-work/dell-workforce-drops-10-fiscal-2026-filing-shows-2026-03-16/,Post-IPO,,United States,4/22/2026,DELL,151.15231323242188,156.05712890625,195.9437255859375,3.2449491304087115,29.633295975193818,1
Amazon,Seattle,100.0,2026-03-04,,Retail,https://finance.yahoo.com/news/amazon-cuts-more-jobs-time-212928090.html,Post-IPO,8100.0,United States,3/17/2026,AMZN,208.72999572753906,216.82000732421875,213.77000427246094,3.875826073047881,2.4146067398481312,1
Zillow,Seattle,200.0,2026-02-02,,Real Estate,https://www.seattletimes.com/business/real-estate/seattle-based-zillow-lays-off-200-employees/,Post-IPO,97.0,United States,2/5/2026,Z,63.029998779296875,62.52000045776367,45.90999984741211,-0.8091358581792002,-27.161667877912254,0
Expedia,Seattle,100.0,2026-02-01,,Travel,https://finance.yahoo.com/news/expedia-cut-100-jobs-austin-161917994.html?guccounter=1,Post-IPO,3300.0,United States,2/7/2026,EXPE,264.26666259765625,276.0710754394531,249.6199951171875,4.466856593171191,-5.542381826181449,0
Amazon,Seattle,16000.0,2026-01-28,,Retail,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,Post-IPO,8100.0,United States,1/28/2026,AMZN,244.67999267578125,243.00999450683594,208.72999572753906,-0.6825233852112221,-14.692658993119451,0
Meta,SF Bay Area,1500.0,2026-01-13,0.02,Consumer,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,Post-IPO,26000.0,United States,1/14/2026,META,641.4207763671875,630.5501708984375,639.2227172851562,-1.6947697781661841,-0.34268598134291645,0
Amazon,Seattle,84.0,2025-12-15,,Retail,https://www.bizjournals.com/seattle/news/2025/12/15/amazon-layoffs-84-february.html,Post-IPO,8100.0,United States,12/19/2025,AMZN,226.19000244140625,222.5399932861328,239.1199951171875,-1.613691637948923,5.716429787444174,1
